rank;word;freq;#texts;%caps;blog;web;TVM;spok;fic;mag;news;acad;blogPM;webPM;TVMPM;spokPM;ficPM;magPM;newsPM;acadPM
3896;scientist;21917;13593;0,09;3205;3356;1824;2100;1597;4336;2689;2810;25,79;26,09;14,24;16,65;13,50;34,39;22,09;23,46
3897;occurs;21916;15536;0,00;2490;4474;382;1088;845;3423;1221;7993;20,04;34,79;2,98;8,63;7,14;27,15;10,03;66,72
3898;grateful;21908;16428;0,06;3711;2940;2858;2437;4231;2289;2055;1387;29,87;22,86;22,32;19,32;35,76;18,15;16,88;11,58
3899;greek;21892;10404;0,98;2628;4798;1469;1300;2170;3455;2309;3763;21,15;37,31;11,47;10,31;18,34;27,40;18,97;31,41
3900;pete;21887;8005;0,99;1422;1679;4929;2872;4650;1897;3319;1079;11,44;13,05;38,49;22,77;39,30;15,04;27,26;9,01
3901;warren;21885;9369;0,97;2405;2652;1973;3849;1984;3180;4362;1441;19,36;20,62;15,41;30,51;16,77;25,22;35,83;12,03
3902;fifty;21883;14448;0,21;1642;2093;1723;2930;7817;2365;542;2771;13,21;16,27;13,45;23,23;66,07;18,76;4,45;23,13
3903;component;21882;13704;0,04;2441;3440;329;1031;307;3034;1232;10068;19,65;26,75;2,57;8,17;2,59;24,06;10,12;84,05
3904;balls;21878;13741;0,05;2310;1870;5776;1078;3396;3805;2781;856;18,59;14,54;45,10;8,55;28,70;30,18;22,84;7,15
3905;guarantee;21871;17074;0,02;3583;3426;2601;3003;961;2732;2872;2690;28,84;26,64;20,31;23,81;8,12;21,67;23,59;22,46
3906;packed;21870;17702;0,02;1927;1937;1983;1680;4783;4813;3835;911;15,51;15,06;15,48;13,32;40,42;38,17;31,50;7,60
3907;spots;21855;16284;0,03;2538;2304;1273;1469;3547;5372;4171;1181;20,43;17,91;9,94;11,65;29,98;42,60;34,26;9,86
3908;tremendous;21846;17704;0,02;2441;2406;1078;6202;1057;3149;3508;2003;19,65;18,71;8,42;49,17;8,93;24,97;28,82;16,72
3909;aim;21840;16267;0,10;2593;3019;1567;1297;1732;3792;2148;5666;20,87;23,47;12,24;10,28;14,64;30,07;17,64;47,30
3910;trends;21838;13630;0,13;3449;3289;144;1055;151;3494;2478;7778;27,76;25,57;1,12;8,36;1,28;27,71;20,35;64,93
3911;significance;21835;14315;0,03;1818;2797;386;1293;953;2008;1393;11187;14,63;21,75;3,01;10,25;8,05;15,92;11,44;93,39
3912;protecting;21820;16866;0,07;2974;2997;2571;3071;1231;2998;2884;3092;23,93;23,30;20,07;24,35;10,40;23,78;23,69;25,81
3913;physics;21819;8299;0,18;3563;4145;1150;831;1450;3375;1157;6147;28,68;32,23;8,98;6,59;12,25;26,77;9,50;51,31
3914;targets;21819;13648;0,03;2420;2877;1056;3344;775;3867;3339;4141;19,48;22,37;8,25;26,51;6,55;30,67;27,43;34,57
3915;wealthy;21817;14578;0,03;4300;4107;849;2703;1754;2885;3253;1966;34,61;31,93;6,63;21,43;14,82;22,88;26,72;16,41
3916;ministry;21814;10379;0,49;2483;3379;517;1977;711;4077;4078;4591;19,98;26,27;4,04;15,67;6,01;32,33;33,50;38,33
3917;iphone;21807;6267;0,02;9233;7425;185;677;235;3055;913;83;74,31;57,73;1,44;5,37;1,99;24,23;7,50;0,69
3918;respondents;21806;5255;0,10;1134;1737;8;181;20;1429;1112;16185;9,13;13,51;0,06;1,43;0,17;11,33;9,13;135,11
3919;gifts;21801;13306;0,06;2877;3267;2128;2041;2363;3858;3023;2244;23,15;25,40;16,62;16,18;19,97;30,60;24,83;18,73
3920;imagination;21799;14849;0,05;2485;2980;1981;1387;3338;3171;1768;4689;20,00;23,17;15,47;11,00;28,21;25,15;14,52;39,14
3921;vegetables;21794;10878;0,05;1895;1955;1008;1196;1886;8566;4127;1161;15,25;15,20;7,87;9,48;15,94;67,93;33,90;9,69
3922;baker;21782;8927;0,91;1489;1368;1536;4068;1409;3655;5772;2301;11,98;10,64;11,99;32,25;11,91;28,99;47,41;19,21
3923;prominent;21759;17289;0,03;2208;2815;374;1993;1090;3810;3985;5484;17,77;21,89;2,92;15,80;9,21;30,22;32,73;45,78
3924;cultures;21745;11274;0,04;2516;2790;639;917;671;2690;1794;9728;20,25;21,69;4,99;7,27;5,67;21,33;14,74;81,21
3925;focusing;21742;17621;0,06;3372;3203;502;2901;826;2935;2680;5323;27,14;24,90;3,92;23,00;6,98;23,28;22,01;44,44
3926;wound;21709;14810;0,02;1496;1859;3511;1861;5652;2947;2455;1907;12,04;14,45;27,41;14,75;47,77;23,37;20,17;15,92
3927;lately;21700;17716;0,14;3506;2753;5502;1791;3602;2198;1924;422;28,22;21,41;42,96;14,20;30,44;17,43;15,80;3,52
3928;theories;21695;11518;0,05;3038;3721;891;1278;919;2580;1225;8043;24,45;28,93;6,96;10,13;7,77;20,46;10,06;67,14
3929;champion;21694;13217;0,14;2469;2259;2215;1919;819;3370;7828;808;19,87;17,56;17,29;15,21;6,92;26,73;64,30;6,75
3930;entering;21693;17932;0,06;2469;3181;1520;1463;2404;3232;3808;3616;19,87;24,73;11,87;11,60;20,32;25,63;31,28;30,19
3931;vegas;21689;10118;0,99;2036;1976;3792;3725;1425;3173;4981;513;16,39;15,36;29,61;29,53;12,04;25,16;40,91;4,28
3932;memorial;21678;11780;0,61;1380;2025;1004;3396;1424;2838;7736;1874;11,11;15,74;7,84;26,92;12,03;22,51;63,54;15,64
3933;pregnancy;21675;8403;0,06;4213;4182;1145;2041;1387;3630;1806;3271;33,91;32,52;8,94;16,18;11,72;28,79;14,83;27,31
3934;ratings;21651;10008;0,10;2095;2159;548;2413;206;2714;4525;6991;16,86;16,79;4,28;19,13;1,74;21,52;37,17;58,36
